formOccurrences	form	lemma	HebBinyan	VerbForm	Person	Number	Gender	form_niqqud	lemma_niqqud	lemmaCount
7	עונה	ענה	PAAL	Part	3	Sing	Fem	עוֹנָה	עָנָה	18
19	עוזרת	עזר	PAAL	Part	3	Sing	Fem	עוֹזֶרֶת	עֵזֶר	160
7	עומדת	עמד	PAAL	Part	1	Sing	Fem	עוֹמֶדֶת	עָמַד	86
2	נערכתי	נערך	NIFAL		1	Sing	Masc	נֶעֱרַכְתִּי	נֶעֱרַךְ	10
1	קשנה	קשן	PAAL		3	Sing	Fem	קְשֵׁנָה	קֶשֶׁן	1
1	נסה	נסה	PAAL		3	Sing	Fem	נִסָּה	נִסָּה	4
4	הוציאה	הוציא	HIFIL		3	Sing	Fem	הוֹצִיאָה	הוֹצִיא	62
7	משתדלים	השתדל	HITPAEL	Part	1	Plur	Masc	מִשְׁתַּדְּלִים	הִשְׁתַדֵּל	11
27	משתמשים	השתמש	HITPAEL	Part	3	Plur	Masc	מִשְׁתַּמְשִׁים	הִשְׁתַמֵּשׁ	84
1	קבע	קבע	PAAL		3	Sing	Masc	קֶבַע	קֶבַע	55
12	קיבלתי	קיבל	PIEL		1	Sing	Masc	קִיבַּלְתִּי	קִיבֵּל	245
3	מחליטה	החליט	HIFIL	Part	1,2,3	Sing	Fem	מַחֲלִיטָה	הֶחֱלִיט	164
1	לצרף	צירף	PIEL	Inf				לְצָרֵף	צֵּיְרֵף	3
4	פוגשים	פגש	PAAL	Part	3	Plur	Masc	פּוֹגְשִׁים	פָּגַשׁ	35
1	אלך	אלך	PAAL		2	Sing	Masc	אֵלֵךְ	אֵלֵךְ	1
2	להדריך	הדריך	PIEL	Inf				לְהַדְרִיךְ	הִדְרִיךְ	3
1	אמשיך	המשיך	HIFIL		1	Sing	Masc	אַמְשִׁיךְ	הִמְשִׁיךְ	113
2	ממליצה	המליץ	HIFIL	Part	1,2,3	Sing	Fem	מַמְלִיצָה	הִמְלִיץ	10
1	סיימת	סיים	PAAL		2	Sing	Masc	סִּייַּמְתָּ	סִּייֵּם	69
2	שואלת	שאל	PAAL	Part	1	Sing	Fem	שׁוֹאֶלֶת	שָׁאַל	111
1	משמיע	השמיע	HIFIL	Part	1,2,3	Sing	Masc	מַשְׁמִיעַ	הִשְׁמִיעַ	8
1	מתלבט	התלבט	HITPAEL	Part	1,2,3	Sing	Masc	מִתְלַבֵּט	הִתְלַבֵּט	2
2	מדהים	מדהה	PIEL	Part	1,2,3	Sing	Masc	מַדְהִים	מַדְהֶה	2
1	להיחסף	נחסף	NIFAL	Inf				לְהֵיחָסֵף	נֶחֱסַף	6
10	חשבת	חשב	PAAL		1	Sing	Masc	חָשְַׁבָּת	חָשַׁב	318
1	שתחווה	שתחווה	PAAL		3	Sing	Masc	שֶׁתַחֲוָוה	שֶׁתַחֲוָוה	1
1	שתשים	שתשים	PAAL		3	Plur	Masc	שִׁתָּשִׁים	שִׁתָּשִׁים	1
2	לסחוב	סחב	PAAL	Inf				לִסְחוֹב	סָּחָב	4
1	נרשים	נרשה	NIFAL	Part	3	Plur	Masc	נַרְשִׁים	נַרְשֶׁה	1
5	להתארגן	התארגן	HITPAEL	Inf				לְהִתְאַרְגֵּן	הִתְאַרְגֵּן	6
1	להטעין	הטעין	HIFIL	Inf				לְהַטְעִין	הִטְעִין	1
7	אסור	אסור						אָסוּר	אָסוּר	7
1	פספס	פספס	PIEL		3	Sing	Masc	פַּסְפָּס	פַּסְפָּס	6
16	מסכים	הסכים	HIFIL	Part	1	Sing	Masc	מַסְכִּים	הִסְכִּים	71
1	להיגיל	היגיל	HIFIL	Inf				לְהִיגִּיל	הִיגִּיל	1
12	לשתף	שיתף	PIEL	Inf				לְשְַׁתֵּף	שִׁיתֵּף	18
13	תעשו	עשה	PAAL		2	Plur	Masc	תַּעֲשׂוּ	עָשָׂה	760
10	עוקב	עקב	PAAL	Part	1,2,3	Sing	Masc	עוֹקֵב	עֵקֶב	34
1	תתנו	תתן	PAAL		2	Plur	Masc	תִּתְנוּ	תָּתָן	1
4	שידרתי	שידר	PIEL		1	Sing	Masc	שִׁידַּרְתִּי	שִׁידֵּר	11
1	אציג	הציג	HIFIL		1	Sing	Masc	אַצִּיג	הִצִּיג	9
3	עורר	עורר	PIEL		3	Sing	Masc	עוֹרֵר	עוֹרֵר	9
37	נעבור	עבר	HIFIL		1	Plur	Masc	נַעֲבוֹר	עָבַר	261
13	הצליחה	הצליח	HIFIL		3	Sing	Fem	הִצְלִיחָה	הִצְלִיחַ	128
2	לגנוב	גנב	PAAL	Inf				לִגְּנוֹב	גַּנָּב	4
8	נסיים	סיים	HIFIL		1	Plur	Masc	נִסַּיִים	סִּייֵּם	69
11	להתמודד	התמודד	HITPAEL	Inf				לְהִתְמוֹדֵד	הִתְמוֹדֵד	20
76	מתחילים	התחיל	HIFIL	Part	1	Plur	Masc	מַתְחִילִים	הִתְחִיל	351
1	מכנס	כינס	PIEL	Part	1,2,3	Sing	Masc	מִכְנָס	כִּינֵּס	1
5	נשארת	נשאר	NIFAL	Part	3	Sing	Fem	נִשְׁאֶרֶת	נִשְׁאַר	101
3	נכתב	נכתב	NIFAL		3	Sing	Masc	נִכְתַּב	נִכְתַּב	6
1	נועדו	נועד	NIFAL		3	Plur	Masc	נוֹעֲדוּ	נוֹעַד	3
5	לשבור	שבר	PAAL	Inf				לִשְׁבוֹר	שֶׁבֶר	16
4	אוהבות	אהב	PAAL	Part	3	Plur	Fem	אוֹהֲבוֹת	אָהַב	164
30	להשתמש	השתמש	HITPAEL	Inf				לְהִשְׁתַמֵּשׁ	הִשְׁתַמֵּשׁ	84
1	החרו	החר	HIFIL		3	Plur	Masc	הֶחֱרוּ	הַחַר	1
1	מלאות	מלאות	PAAL	Part	3	Plur	Fem	מְלֵאוֹת	מְלֵאוֹת	1
6	כתב	כתב	PAAL		3	Sing	Masc	כָּתַב	כָּתַב	69
17	ראיתי	ראה	PAAL		1	Sing	Masc	רָאִיתִי	רָאָה	268
4	הוסיף	הוסיף	HIFIL		3	Sing	Masc	הוֹסִיף	הוֹסִיף	23
1	חסרה	חסר	PAAL	Part	3	Sing	Fem	חֲסֵרָה	חָסֵר	5
3	התייחסו	התייחס	HITPAEL		3	Plur	Masc	הִתְיַיחֲסוּ	הִתְיַיחֵס	32
1	התלהבה	התלהב	HITPAEL		3	Sing	Fem	הִתְלַהֲבָה	הִתְלַהֵב	8
2	העלתה	העלה	HIFIL		3	Sing	Fem	הֶעֶלְתָה	הֶעֱלָה	27
1	מציגה	הציג	HIFIL	Part	1,2,3	Sing	Fem	מַצִּיגָה	הִצִּיג	9
12	מסתכל	הסתכל	HITPAEL	Part	3	Sing	Masc	מִסְתַּכֵּל	הִסְתַּכֵּל	61
19	אוהבת	אהב	PAAL	Part	1	Sing	Fem	אוֹהֶבֶת	אָהַב	164
8	גורמת	גרם	PAAL	Part	3	Sing	Fem	גּוֹרֶמֶת	גָּרַם	107
6	לברוח	ברח	NIFAL	Inf				לִבְרוֹחַ	בָּרַח	17
7	חוצה	חצה	PAAL	Part	1,2,3	Sing	Masc	חוּצָה	חָצָה	8
2	מודדת	הודד	PAAL	Part	3	Sing	Fem	מוֹדֶדֶת	הוֹדֵד	3
1	מתברר	התברר	HITPAEL	Part	1,2,3	Sing	Masc	מִתְבָּרֵר	הִתְבָּרֵר	5
1	נאלצת	נאלץ	NIFAL	Part	3	Sing	Fem	נֶאֱלֶצֶת	נֶאֱלַץ	5
1	לקווץ	קיווץ	PAAL	Inf				לְקַוּוֹץ	קִיוְוץ	1
5	מצליחה	הצליח	HIFIL	Part	1,2,3	Sing	Fem	מַצְלִיחָה	הִצְלִיחַ	128
5	מופיע	הופיע	HIFIL	Part	3	Sing	Masc	מוֹפִּיעַ	הוֹפִּיעַ	26
1	מאיר	האיר	PAAL	Part	3	Sing	Masc	מֵאִיר	הֵאִיר	5
1	להעיר	העיר	HIFIL	Inf				לְהָעִיר	הָעִיר	4
1	חוסם	חסם	PAAL	Part	3	Sing	Masc	חוֹסֵם	חֶסֶם	2
2	חובבת	חבב	PAAL	Part	1	Sing	Fem	חוֹבֶבֶת	חָבָב	2
38	קשור	קשר	PAAL	Part	1,2,3	Sing	Masc	קָּשׁוּר	קֶשֶׁר	92
1	מתעלמת	התעלם	HITPAEL	Part	1,2,3	Sing	Fem	מִתְעַלֶּמֶת	הִתְעַלֵּם	9
5	מסבירה	הסביר	HIFIL	Part	1	Sing	Fem	מַסְבִּירָה	הִסְבִּיר	51
1	מסובבת	מסובב	HIFIL	Part	1,2,3	Sing	Fem	מְסוֹבֶבֶת	מְסוֹבֵּב	1
7	מחליט	החליט	HIFIL	Part	1,2,3	Sing	Masc	מַחֲלִיט	הֶחֱלִיט	164
5	בודקת	בדק	PAAL	Part	1,2,3	Sing	Fem	בּוֹדֶקֶת	בָּדַק	52
11	נראים	נראה	NIFAL	Part	3	Plur	Masc	נִרְאִים	נִרְאֶה	83
1	מאוהבת	אוהב	HITPAEL	Part	1,2,3	Sing	Fem	מְאוֹהֶבֶת	אוֹהֵב	1
1	אזלו	אזל	PAAL		3	Plur	Masc	אָזְלוּ	אָזַל	1
14	יקרה	קרה	PAAL		3	Sing	Masc	יִקְרֶה	קָּרָה	230
6	אסביר	הסביר	HIFIL		1	Sing	Masc	אַסְבִּיר	הִסְבִּיר	51
1	סגור	סגור	PAAL	Part	2	Sing	Masc	סָּגוּר	סָּגוּר	1
1	להתלבש	התלבש	HITPAEL	Inf				לְהִתְלַבֵּשׁ	הִתְלַבֵּשׁ	3
1	יתאים	התאים	HIFIL		3	Sing	Masc	יַתְּאִים	הִתְאִים	34
12	מתחילה	התחיל	HIFIL	Part	1,2,3	Sing	Fem	מַתְחִילָה	הִתְחִיל	351
3	יוצאת	יצא	PAAL	Part	1,2,3	Sing	Fem	יוֹצֵאת	יָצָא	241
8	מת	מת	PAAL		3	Sing	Masc	מֵת	מֵת	22
23	להוריד	הוריד	HIFIL	Inf				לְהוֹרִיד	הוֹרִיד	44
2	הבאת	הבאה	PAAL		3	Sing	Fem	הֲבָאַת	הַבָּאָה	2
1	תיראו	תירא	PAAL		1	Plur	Masc	תֵּיִרְאוּ	תִּירָא	1
3	לשפוט	שפט	PAAL	Inf				לִשְׁפּוֹט	שֶׁפֶט	3
1	מסאירה	הסאיר	PIEL	Part	3	Sing	Fem	מַסְאִירָה	הִסְאִיר	2
3	נגנבו	נגנב	NIFAL		3	Plur	Fem	נִגְנְבוּ	נִגְנַב	3
2	מספק	סיפק	PIEL	Part	1	Sing	Masc	מְסַפֵּק	סִּיפֵּק	9
3	נעשתה	נעשה	NIFAL		3	Sing	Fem	נֶעֶשְׂתָה	נַעֲשָׂה	23
1	עוקץ	עוקץ	PAAL	Part	3	Sing	Masc	עוֹקֶץ	עוֹקֶץ	1
1	גנבו	גנב	PAAL		3	Plur	Masc	גָּנְבוּ	גַּנָּב	4
1	מתחזק	התחזק	HITPAEL	Part	1,2,3	Sing	Masc	מִתְחַזֵּק	הִתְחַזֵּק	4
1	מתפתח	התפתח	HITPAEL	Part	1,2,3	Sing	Masc	מִתְפַתֵּחַ	הִתְפַתֵּחַ	7
1	מתיישנת	התיישן	HITPAEL	Part	1,2,3	Sing	Fem	מִתְיַישֶּׁנֶת	הִתְיַישֵּׁן	2
1	מפתחת	פיתח	HIFIL	Part	1,2,3	Sing	Fem	מַפְתַּחַת	פִּיתֵּחַ	11
1	נמסה	נמס	NIFAL	Part	3	Sing	Fem	נְמַסָּה	נָמֵס	2
1	כששמים	כששם	PAAL	Part	3	Plur	Masc	כְּשֶׁשָׁמַיִם	כְּשֶׁשָּׁם	1
1	מתפוררת	התפורר	HITPAEL	Part	1,2,3	Sing	Fem	מִתְפּוֹרֶרֶת	הִתְפּוֹרֵר	1
20	נקראת	נקרא	NIFAL	Part	3	Sing	Fem	נִקְרֵאת	נִקְרָא	101
1	נשמרת	נשמר	NIFAL	Part	3	Sing	Fem	נִשְׁמֶרֶת	נִשְׁמַר	2
1	מעניק	העניק	HIFIL	Part	3	Sing	Masc	מַעֲנִיק	הֶעֱנִיק	2
1	נגניבו	הגניב	PAAL		3	Plur	Fem,Masc	נַגְּנִיבוֹ	הַגָּנִיב	1
1	שטופות	שטף	PAAL	Part	3	Plur	Fem	שְׁטוּפוֹת	שֶׁטֶף	7
3	עולות	עלה	PAAL	Part	3	Plur	Fem	עוֹלוֹת	עָלָה	147
1	נשמר	נשמר	NIFAL		3	Sing	Masc	נִשְׁמַר	נִשְׁמַר	2
18	רצתה	רצה	PAAL		3	Sing	Fem	רָצְתָה	רָצָה	467
16	לפגוע	פגע	PAAL	Inf				לִפְגּוֹעַ	פָּגַע	36
12	יצאה	יצא	PAAL		3	Sing	Fem	יָצְאָה	יָצָא	241
3	לתפוס	תפס	PAAL	Inf				לִתְפּוֹס	תָּפַס	17
1	מעורב	עורב	PUAL	Part	1,2,3	Sing	Masc	מְעוֹרָב	עוֹרֵב	1
6	מסתבר	הסתבר	HITPAEL	Part	1,2,3	Sing	Masc	מִסְתַבֵּר	הִסְתַבֵּר	6
1	התחז	התחז	HIFIL		3	Sing	Masc	הִתְחַז	הִתְחַז	1
5	לשכנע	שכנע	PIEL	Inf				לְשְַׁכְנֵעַ	שִׁכְנֵעַ	6
15	לשלוח	שלח	PAAL	Inf				לִשְׁלוֹחַ	שָׁלַח	47
3	נעלמו	נעלם	NIFAL		3	Plur	Masc	נֶעֶלְמוּ	נֶעֱלַם	11
11	הבינו	הבין	HIFIL		3	Plur	Masc	הֵבִינוּ	הֵבִין	159
15	זוכרים	זכר	PAAL	Part	3	Plur	Masc	זוֹכְרִים	זֵכֶר	66
10	נכנסת	נכנס	NIFAL	Part	3	Sing	Fem	נִכְנֶסֶת	נִכְנַס	148
10	מייצרים	ייצר	PIEL	Part	1,2,3	Plur	Masc	מְיַיצְּרִים	יִיצֵּר	33
1	שעומדות	שעמות	PAAL	Part	3	Plur	Fem	שֶׁעוֹמְדוֹת	שְׁעָמוֹת	1
3	התייחס	התייחס	HITPAEL		3	Sing	Masc	הִתְיַיחֵס	הִתְיַיחֵס	32
1	התחייבה	התחייב	HITPAEL		3	Sing	Fem	הִתְחַיְּיבָה	הִתְחַיֵּיב	1
3	שילמה	שילם	PIEL		3	Sing	Fem	שִׁילְּמָה	שִׁילֵּם	54
8	פונה	פנה	PAAL	Part	1,2,3	Sing	Masc	פּוֹנֶה	פָּנָה	16
3	מבקשת	ביקש	PIEL	Part	1	Sing	Fem	מְבַקֶּשֶׁת	בִּיקֵּשׁ	78
2	לדווח	דיווח	PIEL	Inf				לְדַוֵּוחַ	דִּיוּוּחַ	3
1	כוללות	כלל	PAAL	Part	3	Plur	Fem	כּוֹלְלוֹת	כְּלָל	20
1	טופות	טפה	PAAL	Part	3	Plur	Fem	טוּפוֹת	טָּפָה	3
2	נמכרות	נמכר	NIFAL	Part	3	Plur	Fem	נִמְכָּרוֹת	נִמְכַּר	15
6	הצטרף	הצטרף	HITPAEL		3	Sing	Masc	הִצְטָרֵף	הִצְטָרֵף	26
1	הזהיר	הזהיר	HIFIL		3	Sing	Masc	הִזְהִיר	הִזְהִיר	6
3	נמשכת	נמשך	NIFAL	Part	3	Sing	Fem	נִמְשֶׁכֶת	נִמְשָׁךְ	17
1	נותרת	נתר	NIFAL	Part	3	Sing	Fem	נוֹתֶרֶת	נֶּתֶּר	1
5	נתקלים	נתקל	NIFAL	Part	3	Plur	Masc	נִתְקָלִים	נִתְקַל	8
1	הזהרו	הזהר	HIFIL		1	Plur	Masc	הִזְהֲרוּ	הַזָּהָר	1
1	שולח	שלח	PAAL	Part	3	Sing	Masc	שׁוֹלֵחַ	שָׁלַח	47
42	מכירים	הכיר	HIFIL	Part	1	Plur	Masc	מַכִּירִים	הִכִּיר	141
2	מטרידות	הטריד	HIFIL	Part	1,2,3	Plur	Fem	מַטְרִידוֹת	הִטְרִיד	7
15	להחזיר	החזיר	HIFIL	Inf				לְהַחֲזִיר	הֶחֱזִיר	29
2	שולחות	שלח	PAAL	Part	3	Plur	Fem	שׁוֹלְחוֹת	שָׁלַח	47
3	פורסמה	פורסם	PUAL		3	Sing	Fem	פּוּרְסְמָה	פּוּרְסַם	8
1	ריאינו	ריא	PAAL		3	Sing	Masc	רֵיאֵינוּ	רַיא	1
3	משתמשת	השתמש	HITPAEL	Part	1,2,3	Sing	Fem	מִשְׁתַּמֶּשֶׁת	הִשְׁתַמֵּשׁ	84
2	מטרידים	הטריד	HIFIL	Part	1,2,3	Plur	Masc	מַטְרִידִים	הִטְרִיד	7
2	מרשים	הרשה	PAAL	Part	1,2,3	Sing	Masc	מַרְשִׁים	הִרְשָׁה	6
1	מגנה	גינה	PIEL	Part	3	Sing	Fem	מְגַּנָּה	גִּינָּה	1
1	הופץ	הופץ	HUFAL		3	Sing	Masc	הוּפַּץ	הוּפַּץ	1
4	הזכרנו	הזכיר	HIFIL		1	Plur	Masc	הִזְכַּרְנוּ	הִזְכִּיר	55
6	החלה	החל	HIFIL		3	Sing	Fem	הֵחֵלָּה	הֵחֵל	14
34	החליטה	החליט	HIFIL		3	Sing	Fem	הֶחֱלִיטָה	הֶחֱלִיט	164
7	להקליט	הקליט	HIFIL	Inf				לְהַקְלִיט	הַקְּלִיט	9
1	יטפל	טיפל	PAAL		3	Sing	Masc	יְטַפֵּל	טִיפֵּל	13
2	ימשכו	משך			3	Plur	Fem,Masc	יִמְשְׁכוּ	מֶשֶׁךְ	22
2	מחליטות	החליט	HIFIL	Part	1,2,3	Plur	Fem	מַחֲלִיטוֹת	הֶחֱלִיט	164
1	להדכן	הדכן	PIEL	Inf				לְהַדְכֵּן	הַדְכָּן	1
2	להטריד	הטריד	HIFIL	Inf				לְהַטְרִיד	הִטְרִיד	7
3	פניתי	פנה	PAAL		1	Sing	Masc	פָּנִיתִי	פָּנָה	16
2	הטריד	הטרידו	HIFIL		3	Sing	Masc	הִטְרִיד	הִטְרִידוּ	2
12	סיפרה	סיפר	PIEL		3	Sing	Fem	סִּיפְּרָה	סִּיפֵּר	121
1	הוזכרה	הוזכר	HUFAL		3	Sing	Fem	הוּזְכְּרָה	הוּזְכַּר	3
7	צילם	צילם	PIEL		3	Sing	Masc	צִּילָּם	צִּילָּם	17
1	לחתי	לחת	PAAL		1	Sing	Masc	לַחְתִּי	לַחַת	1
1	גיבה	גיבה	PIEL		3	Sing	Fem	גִּיבָה	גִּיבָה	1
1	טשתי	טש	PAAL		1	Sing	Masc	טַשְׁתִּי	טַשׁ	1
41	אמרה	אמר	PAAL		3	Sing	Fem	אָמְרָה	אָמַר	997
3	תדבר	דיבר	PAAL		3	Sing	Fem	תְּדַבֵּר	דִּיבֵּר	359
1	מוזכרים	הוזכר	HUFAL	Part	3	Plur	Masc	מוּזְכָּרִים	הוּזְכַּר	3
1	מסתרים	הסתר	PIEL	Part	3	Plur	Masc	מִסְתָּרִים	הֶסְתֵּר	1
7	נותנת	נתן	PAAL	Part	3	Sing	Fem	נוֹתֶנֶת	נָתָן	147
1	אשע	אשע	PAAL		1	Sing	Masc	אֶשַּׁע	אֶשַּׁע	1
1	אראה	ארא	PAAL		1	Sing	Masc	אַרְאֶה	אַרְא	1
1	אקלל	קלל	PAAL		3	Sing	Masc	אֲקַלֵּל	קָלָל	1
2	אגלה	אגל	PAAL		1	Sing	Masc	אֲגַלֶּה	אֵגֶל	2
3	נכנסנו	נכנס	NIFAL		1	Plur	Masc	נִכְנַסְנוּ	נִכְנַס	148
6	ארגיש	הרגיש	HIFIL		1	Sing	Masc	אַרְגִּישׁ	הִרְגִּישׁ	148
2	תזכה	זכה	PAAL		3	Sing	Fem	תִּזְכֶּה	זָּכָה	38
1	מוטרדים	מוטרד	PUAL	Part	3	Plur	Masc	מוּטְרָדִים	מוּטְרָד	1
1	להתבייש	התבייש	HITPAEL	Inf				לְהִתְבַּיֵּישׁ	הִתְבַּיֵּישׁ	6
3	לחסוף	חסף	PAAL	Inf				לַחֲסוֹף	חָסָף	4
3	נסו	נסה	PAAL		1	Plur	Masc	נָסוּ	נִסָּה	4
1	נחשוב	חשב	HIFIL		1	Plur	Masc	נַחֲשׁוֹב	חָשַׁב	318
2	להעליב	העליב	HIFIL	Inf				לְהַעֲלִיב	הֶעֱלִיב	2
2	נשאל	נשאל	NIFAL		3	Sing	Masc	נִשְׁאַל	נִשְׁאַל	4
5	מתנהגים	התנהג	HITPAEL	Part	3	Plur	Masc	מִתְנַהֲגִים	הִתְנַהֵג	14
7	הזכרתי	הזכיר	HIFIL		1	Sing	Masc	הִזְכַּרְתִּי	הִזְכִּיר	55
1	אכניס	הכניס	HIFIL		1	Sing	Masc	אַכְנִיס	הִכְּנִיס	40
2	קורעת	קרע	PAAL	Part	3	Sing	Fem	קוֹרַעַת	קֶרַע	2
2	נבין	נבין	HIFIL		1	Plur	Masc	נָבִין	נָבִין	2
1	יברר	בירר	HIFIL		3	Sing	Masc	יְבָרֵר	בֵּיְרֵר	4
9	לקחו	לקח	PAAL		3	Plur	Masc	לָקְחוּ	לֶקַח	156
4	אנסה	אנס	HIFIL		1	Sing	Masc	אֲנַסֶּה	אַנָּס	4
2	מחלקת	חילק	PIEL	Part	1	Sing	Fem	מַחְלֶקֶת	חִילֵּק	17
5	שוחררו	שוחרר	PUAL		3	Plur	Masc	שׁוּחְרְרוּ	שׁוּחְרַר	5
31	לשלם	שילם	PIEL	Inf				לְשְַׁלֵם	שִׁילֵּם	54
4	משלמת	שילם	PIEL	Part	1,2,3	Sing	Fem	מְשְַׁלֶמֶת	שִׁילֵּם	54
14	תדעו	ידע	PAAL		1	Plur	Masc	תֵּדְעוּ	יֶדַע	335
1	נכל	נכל	PAAL		1	Plur	Masc	נָכָל	נָכָל	1
17	להזכיר	הזכיר	HIFIL	Inf				לְהַזְכִּיר	הִזְכִּיר	55
3	הוביל	הוביל	HIFIL		3	Sing	Masc	הוֹבִיל	הוֹבִיל	12
1	השתתפו	השתתף	HITPAEL		3	Plur	Fem,Masc	הִשְׁתַּתְּפוּ	הִשְׁתַתֵּף	27
35	התחילה	התחיל	HITPAEL		3	Sing	Fem	הִתְחִילָה	הִתְחִיל	351
22	הצליחו	הצליח	HIFIL		3	Plur	Masc	הִצְלִיחוּ	הִצְלִיחַ	128
8	להרוג	הרג	PAAL	Inf				לַהֲרוֹג	הָרַג	15
2	אכנס	נכנס	PAAL		1	Sing	Masc	אֶכָּנֵס	נִכְנַס	148
7	נרצחו	נרצח	NIFAL		3	Plur	Masc	נִרְצְחוּ	נִרְצַח	8
2	נפצאו	נפצא	NIFAL		3	Plur	Masc	נִפְצְאוּ	נִפְצָא	2
3	לחטוף	חטף	PAAL	Inf				לַחֲטוֹף	חָטַף	6
9	נחטפו	נחטף	NIFAL		3	Plur	Masc	נֶחְטְפוּ	נֶחֱטַף	13
2	גורמות	גרם	PAAL	Part	3	Plur	Fem	גּוֹרְמוֹת	גָּרַם	107
3	נקראות	נקרא	NIFAL	Part	3	Plur	Fem	נִקְרָאוֹת	נִקְרָא	101
2	קרתה	קרה	PAAL		3	Sing	Fem	קָּרְתָה	קָּרָה	230
1	להפציץ	הפציץ	HIFIL	Inf				לְהַפְצִיץ	הִפְצִיץ	1
10	נכנסה	נכנס	NIFAL		3	Sing	Fem	נִכְנְסָה	נִכְנַס	148
2	השתתף	השתתף	HITPAEL		3	Sing	Masc	הִשְׁתַתֵּף	הִשְׁתַתֵּף	27
11	להחזיק	החזיק	HIFIL	Inf				לְהַחֲזִיק	הֶחֱזִיק	30
3	חמס	חמס	PAAL		3	Sing	Masc	חַמָּס	חַמָּס	3
6	עזרו	עזר	PAAL		3	Plur	Masc	עֶזְרוֹ	עֵזֶר	160
1	הסתימה	הסתים	HITPAEL		3	Sing	Fem	הַסְּתִימָה	הִסְתִּים	1
2	כלל	כלל	PAAL		3	Sing	Masc	כְּלָל	כְּלָל	20
3	חררה	חרר	PAAL		3	Sing	Fem	חָרְרָה	חָרֵר	6
1	משיבה	השיב	HIFIL	Part	1,2,3	Sing	Fem	מְשִׁיבָה	הֵשִׁיב	3
2	להילחם	נלחם	NIFAL	Inf				לְהִילָּחֵם	נִלְחַם	8
1	שחרר	שחרר	PIEL		3	Sing	Masc	שִׁחְרֵר	שִׁחְרֵר	11
19	נוסף	נוסף	NIFAL	Part	3	Sing	Masc	נוֹסָף	נוֹסָף	19
27	להביא	הביא	HIFIL	Inf				לְהָבִיא	הֵבִיא	77
8	הביאו	הביא	HIFIL		3	Plur	Masc	הֵבִיאוּ	הֵבִיא	77
5	למד	למד	PAAL		3	Sing	Masc	לָמַד	לָמַד	143
1	העביר	העביר	HIFIL		3	Sing	Masc	הֶעֱבִיר	הֶעֱבִיר	40
1	הגביר	הגביר	HIFIL		3	Sing	Masc	הִגְבִּיר	הִגְבִּיר	17
3	ינסו	ניסה	PIEL		3	Plur	Masc	יְנַסּוּ	נִיסָּה	85
1	יצליחו	הצליח	HIFIL		3	Plur	Masc	יַצְלִיחוּ	הִצְלִיחַ	128
5	החזיקו	החזיק	HIFIL		3	Plur	Fem,Masc	הֶחֱזִיקוּ	הֶחֱזִיק	30
17	חשבו	חשב	PAAL		3	Plur	Masc	חָשְׁבוּ	חָשַׁב	318
5	ירו	ירה	PAAL		3	Plur	Masc	יָרוּ	יָרָה	6
4	הרגו	הרג	PAAL		3	Plur	Fem,Masc	הָרְגוּ	הָרַג	15
2	התעסקו	התעסק	HITPAEL		3	Plur	Fem,Masc	הִתְעַסְּקוּ	הִתְעַסֵּק	20
7	לחגוג	חגג	PIEL	Inf				לַחְגּוֹג	חָגָג	18
3	לשמוח	שמח	PAAL	Inf				לִשְׂמוֹחַ	שָׂמֵחַ	52
1	שחררו	שיחרר	PAAL		3	Plur	Masc	שִׁחְרְרוּ	שִׁיחְרֵר	1
2	בוטלו	בוטל	PUAL		3	Plur	Masc	בּוּטְּלוּ	בּוּטַּל	3
3	תפס	תפס	PAAL		3	Sing	Masc	תָּפַס	תָּפַס	17
2	תכף	תכף	PAAL		3	Sing	Masc	תֶּכֶף	תֶּכֶף	2
1	חרר	חרר	PAAL		3	Sing	Masc	חָרֵר	חָרֵר	6
10	לשחרר	שחרר	PIEL	Inf				לְשַׁחְרֵר	שִׁחְרֵר	11
12	הסכימה	הסכים	HIFIL		3	Sing	Fem	הִסְכִּימָה	הִסְכִּים	71
2	ללחץ	ליחץ	PAAL	Inf				לְלַחַץ	לִיחֵץ	3
2	תמכו	תמך	PAAL		3	Plur	Masc	תָּמְכוּ	תָּמֵךְ	33
3	להגיב	הגיב	HIFIL	Inf				לְהָגִיב	הֵגִיב	6
1	לתקוף	תקף	PAAL	Inf				לִתְקוֹף	תֶּקֶף	9
7	להשתנות	השתנה	HITPAEL	Inf				לְהִשְׁתַּנּוֹת	הִשְׁתַּנָה	40
7	ניסו	ניסה	PIEL		3	Plur	Masc	נִיסּוּ	נִיסָּה	85
8	להפעיל	הפעיל	HIFIL	Inf				לְהַפְעִיל	הִפְעִיל	15
2	תפסיק	הפסיק	HIFIL		2	Sing	Masc	תַּפְסִיק	הִפְסִיק	42
2	חושבות	חשב	PAAL	Part	3	Plur	Fem	חוֹשְׁבוֹת	חָשַׁב	318
1	אשמה	אשמה	PAAL		3	Sing	Fem	אַשְׁמָה	אַשְׁמָה	1
6	לטבוע	טבע	PAAL	Inf				לִטְבּוֹעַ	טֶּבַע	8
1	התערכה	התערך	HITPAEL		3	Sing	Fem	הִתְעָרְכָה	הִתְעָרֵךְ	4
9	עלתה	עלה	PAAL		3	Sing	Fem	עָלְתָה	עָלָה	147
1	פגעה	פגע	PAAL		3	Sing	Fem	פָּגְעָה	פָּגַע	36
