formOccurrences	form	lemma	Gender	Number	form_niqqud	lemma_niqqud	lemmaCount
2	חטיפות	חטיפה	Fem	Plur	חֲטִיפוֹת	חֲטִיפָה	5
1	פחדה	פחד	Fem	Sing	פָּחֲדָה	פַּחַד	17
2	שליט	שליט	Masc	Sing	שְַׁלִיט	שְַׁלִיט	2
3	מנהיג	מנהיג	Masc	Sing	מַנְהִיג	מַנְהִיג	7
9	מצלמות	מצלמה	Fem	Plur	מַצְלֵמוֹת	מַצְלֵמָה	16
4	הצגה	הצגה	Fem	Sing	הַצָּגָה	הַצָּגָה	4
13	מעמד	מעמד	Masc	Sing	מַעֲמָד	מַעֲמָד	13
2	סטטוס	סטטוס	Masc	Sing	סְטָטוּס	סְטָטוּס	2
10	כול	כול	Masc	Sing	כּוֹל	כּוֹל	221
1	התקפות	התקפה	Fem	Plur	הַתְּקָפוֹת	הַתְּקָפָה	2
5	הפסקת	הפסקה	Fem	Sing	הַפְּסָקַת	הַפְּסָקָה	22
17	אש	אש	Fem	Sing	אֵשׁ	אֵשׁ	17
13	סכנה	סכנה	Fem	Sing	סַכָּנָה	סַכָּנָה	21
1	חיסול	חיסול	Masc	Sing	חִיסּוּל	חִיסּוּל	1
1	עצירת	עצירה	Fem	Sing	עֲצִירַת	עֲצִירָה	3
1	תעסקים	תעסק	Fem	Sing	תַּעֲסָקִים	תַּעֲסֹק	1
1	טיונים	טיון	Masc	Plur	טִיּוּנִים	טִיּוּן	1
1	שבעד	שבעד	Masc	Sing	שֶׁבְעַד	שֶׁבְעַד	1
4	פדיון	פדיון	Masc	Sing	פִּדְיוֹן	פִּדְיוֹן	4
6	שבועים	שבוע	Masc	Plur	שָׁבוּעַיִם	שָׁבוּעַ	113
22	ערך	ערך	Masc	Sing	עֵרֶךְ	עֵרֶךְ	29
1	יסוד	יסוד	Masc	Sing	יְסוֹד	יְסוֹד	1
41	מדינת	מדינה	Fem	Sing	מְדִינַת	מְדִינָה	306
1	לאום	לאום	Masc	Sing	לָאוֹם	לָאוֹם	1
19	שלומ	שלום	Masc	Sing	שָׁלוֹמ	שָׁלוֹם	43
4	יהודי	יהודי	Masc	Plur	יְהוּדִי	יְהוּדִי	20
3	אזרחי	אזרח	Masc	Plur	אֶזְרָחִי	אֶזְרָח	21
6	יהדות	יהדות	Fem	Sing	יַהֲדוּת	יַהֲדוּת	6
7	ברירה	ברירה	Fem	Sing	בְּרֵירָה	בְּרֵירָה	7
9	הגנה	הגנה	Fem	Sing	הֲגָּנָה	הֲגָּנָה	9
13	בתים	בית	Masc	Plur	בָּתִּים	בַּיִת	319
3	סולידריות	סולידריות	Fem	Sing	סוֹלִידָרִיּוּת	סוֹלִידָרִיּוּת	3
8	אמון	אמון	Masc	Sing	אֵמוּן	אֵמוּן	8
18	ממשלה	ממשלה	Fem	Sing	מֶמְשָׁלָה	מֶמְשָׁלָה	28
2	בזבז	בזבז	Masc	Sing	בִּזְבֵּז	בִּזְבֵּז	2
8	סכנת	סכנה	Fem	Sing	סַכֶּנֶת	סַכָּנָה	21
5	חולים	חולה	Masc	Plur	חוֹלִים	חוֹלֶה	6
2	פצועים	פצוע	Masc	Plur	פְּצוּעִים	פָּצוּעַ	2
12	משחק	משחק	Masc	Sing	מִשְׂחָק	מִשְׂחָק	20
1	רעת	רעת	Fem	Sing	רָעַת	רָעַת	1
13	פוליטיקה	פוליטיקה	Fem	Sing	פּוֹלִיטִיקָה	פּוֹלִיטִיקָה	13
1	כישלון	כישלון	Masc	Sing	כִּישָּׁלוֹן	כִּישָּׁלוֹן	3
15	אחריות	אחריות	Fem	Sing	אַחְרָיוּת	אַחְרָיוּת	15
1	נימין	נימין	Masc	Sing	נִימִין	נִימִין	1
1	קואליציה	קואליציה	Fem	Sing	קוֹאָלִיצְיָה	קוֹאָלִיצְיָה	1
1	הצלת	הצלה	Fem	Sing	הַצָּלַת	הַצָּלָה	2
7	פתרונות	פתרון	Masc	Plur	פִּתְרוֹנוֹת	פִּתְרוֹן	22
5	רגשות	רגש	Masc	Plur	רְגָשׁוֹת	רֶגֶשׁ	7
2	אמוציות	אמוציה	Fem	Plur	אֵמוּצְיוֹת	אֵמוּצְיָה	2
3	ערכים	ערך	Masc	Plur	עֲרָכִים	עֵרֶךְ	29
3	אינטרסים	אינטרס	Masc	Plur	אִינְטֵרֵסִים	אִינְטֵרֵס	3
2	אחדות	אחדות	Fem	Sing	אַחְדוּת	אַחְדוּת	2
1	אובייקטיביות	אובייקטיבי	Fem	Sing	אוֹבְּיֶיקְטִיבִיּוּת	אוֹבְּיֶיקְטִיבִי	1
1	מסוב	מסוב	Masc	Sing	מִסּוֹב	מִסּוֹב	1
12	סוסיטה	סוסיטה	Fem	Sing	סוּסִיטָה	סוּסִיטָה	15
31	מכונית	מכונית	Fem	Sing	מְכוֹנִית	מְכוֹנִית	67
4	בנ	בן	Masc	Sing	בֶּנ	בֶּן	126
6	מרק	מרק	Masc	Sing	מַרְק	מַרְק	6
12	מנוע	מנוע	Masc	Sing	מָּנוֹעַ	מָּנוֹעַ	25
4	גלגלים	גלגלים	Masc	Plur	גַּלְגַּלִּים	גַּלְגַּלִּים	4
4	סמל	סמל	Masc	Sing	סֵּמֶל	סֵּמֶל	4
2	כישלונות	כישלון	Masc	Plur	כִּישְׁלוֹנוֹת	כִּישָּׁלוֹן	3
4	סוסית	סוסית	Fem	Sing	סוּסִית	סוּסִית	4
1	מרעיון	מרעיון	Masc	Sing	מֵרַעְיוֹן	מֵרַעְיוֹן	1
10	דופן	דופן	Masc	Sing	דּוֹפֶן	דּוֹפֶן	10
4	תעשיית	תעשייה	Fem	Sing	תַּעֲשִִׂיַּית	תַּעֲשִִׂיָּיה	7
1	התרסקות	התרסקות	Fem	Sing	הִתְרַסְקוּת	הִתְרַסְקוּת	1
11	חליל	חליל	Masc	Sing	חָלִיל	חָלִיל	11
1	קנה	קנה	Masc	Sing	קָּנָה	קָּנָה	1
1	חגרות	חגרות	Fem	Plur	חֲגָרוֹת	חֲגָרוֹת	1
2	בטיחות	בטיחות	Fem	Sing	בְּטִיחוּת	בְּטִיחוּת	2
2	נוסעים	נוסע	Masc	Plur	נוֹסְעִים	נוֹסֵעַ	3
5	חרם	חרם	Masc	Sing	חֵרֶם	חֵרֶם	5
12	הקשר	הקשר	Masc	Sing	הַקֶּשֶׁר	הַקֶּשֶׁר	12
23	מוצרים	מוצר	Masc	Plur	מוּצָרִים	מוּצָּר	43
14	חלקים	חלק	Masc	Plur	חֲלָקִים	חֵלֶק	166
3	תעשייה	תעשייה	Fem	Sing	תַּעֲשִִׂיָּיה	תַּעֲשִִׂיָּיה	7
6	ספינה	ספינה	Fem	Sing	סְפִינָה	סְפִינָה	9
14	שכר	שכר	Masc	Sing	שָׂכָר	שָׂכָר	14
2	שכונת	שכונה	Fem	Sing	שְׁכוּנַת	שְׁכוּנָה	17
3	דר	דר	Masc	Sing	דַּר	דַּר	3
5	מלחמת	מלחמה	Fem	Sing	מִלְחֶמֶת	מִלְחָמָה	155
62	עצמאות	עצמאות	Fem	Sing	עַצְמָאוּת	עַצְמָאוּת	62
1	כחובש	כחובש	Masc	Sing	כְּחוֹבֵּשׁ	כְּחוֹבֵּשׁ	1
14	רכבים	רכב	Masc	Plur	רְכָבִים	רֶכֶב	51
11	אישור	אישור	Masc	Sing	אִישּׁוּר	אִישּׁוּר	13
4	ייצור	ייצור	Masc	Sing	יִיצּוּר	יִיצּוּר	4
1	רכבט	רכבט	Masc	Sing	רַכְבֶּט	רַכְבֶּט	1
11	עסקים	עסק	Masc	Plur	עֲסָקִים	עֵסֶק	49
2	סחורה	סחורה	Fem	Sing	סְחוֹרָה	סְחוֹרָה	4
6	דגים	דג	Masc	Plur	דָּגִים	דָּג	9
3	סיגריות	סיגריה	Fem	Plur	סִּיגַרְיוֹת	סִּיגַרְיָה	5
1	התלט	התלט	Masc	Sing	הִתְלֵט	הִתְלֵט	1
1	משיחה	משיחה	Fem	Sing	מְשִׁיחָה	מְשִׁיחָה	1
1	כונית	כונית	Fem	Sing	כַּוֹנִית	כַּוֹנִית	1
4	יזם	יזם	Masc	Sing	יַזָּם	יַזָּם	5
1	אנטרופנור	אנטרופנור	Masc	Sing	אַנְטְרוֹפְנוֹר	אַנְטְרוֹפְנוֹר	1
3	דרכ	דרך	Fem	Sing	דֶּרֶכ	דֶּרֶךְ	215
10	מספרים	מספר	Masc	Plur	מִסְפָּרִים	מִסְפָּר	39
2	זדמנויות	זדמנות	Fem	Plur	זִדְמָנוּיוֹת	זִדְמָנוּת	4
2	בורג	בורג	Masc	Sing	בּוּרְג	בּוּרְג	2
11	קשרים	קשר	Masc	Plur	קְשָׁרִים	קֶשֶׁר	71
8	אות	אות	Fem	Sing	אוֹת	אוֹת	8
6	מעלה	מעלה	Masc	Sing	מַעְלָה	מַעְלָה	11
5	משנה	משנה	Masc	Sing	מְשְַׁנֶה	מְשְַׁנֶה	5
4	ניסיונות	ניסיון	Masc	Plur	נִיסְיוֹנוֹת	נִיסָּיוֹן	20
1	רכבות	רכבה	Fem	Plur	רַכָּבוֹת	רַכָּבָה	1
11	סוס	סוס	Masc	Sing	סוּס	סוּס	12
1	קופירייטר	קופירייטר	Masc	Sing	קוֹפִּירַיְיטֵר	קוֹפִּירַיְיטֵר	1
2	חליפה	חליפה	Fem	Sing	חֲלִיפָה	חֲלִיפָה	5
1	סטייל	סטייל	Masc	Sing	סְטַיְיל	סְטַיְיל	1
10	שילוב	שילוב	Masc	Sing	שִׁילּוּב	שִׁילּוּב	10
2	יחידת	יחידה	Fem	Sing	יְחִידַת	יְחִידָה	18
1	זוכה	זוכה	Masc	Sing	זוֹכֶה	זוֹכֶה	1
1	גרלה	גרלה	Fem	Sing	גָּרְלָה	גָּרְלָה	1
1	מסוגים	מסוג	Masc	Plur	מִסּוּגִים	מִסּוּג	1
4	מתכת	מתכת	Fem	Sing	מַתֶּכֶת	מַתֶּכֶת	6
2	מתכות	מתכת	Fem	Plur	מַתָּכוֹת	מַתֶּכֶת	6
21	שימוש	שימוש	Masc	Sing	שִׁימּוּשׁ	שִׁימּוּשׁ	23
1	אמברגו	אמברגו	Masc	Sing	אַמְבֶּרְגוֹ	אַמְבֶּרְגוֹ	1
4	מעטפת	מעטפת	Fem	Sing	מַעֲטֶפֶת	מַעֲטֶפֶת	4
1	שלדה	שלדה	Fem	Sing	שִׁלְדָּה	שִׁלְדָּה	1
2	חיסרון	חיסרון	Masc	Sing	חִיסָּרוֹן	חִיסָּרוֹן	2
1	פיברגלס	פיברגלס	Masc	Sing	פִּיבֶרְגְלֶס	פִּיבֶרְגְלֶס	1
10	הבנת	הבנה	Fem	Sing	הֵבַנְתָּ	הֲבָנָה	14
1	מיתרון	מיתרון	Masc	Sing	מֵיתְרוֹן	מֵיתְרוֹן	1
1	לירות	לירה	Fem	Plur	לִירוֹת	לִירָה	1
9	יחס	יחס	Masc	Sing	יַחַס	יַחַס	18
5	בחירה	בחירה	Fem	Sing	בְּחִירָה	בְּחִירָה	8
4	נהגי	נהג	Masc	Plur	נֶהָגִי	נַהָג	27
1	מוניות	מונית	Fem	Plur	מוֹנִיּוֹת	מוֹנִית	5
1	שקיעה	שקיעה	Fem	Sing	שְׁקִיעָה	שְׁקִיעָה	1
3	סוסיטות	סוסיטה	Fem	Plur	סוּסִיטוֹת	סוּסִיטָה	15
2	דגמים	דגם	Masc	Plur	דְּגָמִים	דֶּגֶּם	4
1	הסברה	הסברה	Fem	Sing	הַסְבָּרָה	הַסְבָּרָה	1
15	ספורט	ספורט	Masc	Sing	סְפּוֹרְט	סְפּוֹרְט	15
1	סברה	סברה	Fem	Sing	סָּבְרָה	סָּבְרָה	1
1	מרוץ	מרוץ	Masc	Sing	מֵרוֹץ	מֵרוֹץ	2
1	מרוצי	מרוץ	Masc	Plur	מֵרוֹצִי	מֵרוֹץ	2
16	מהירות	מהירות	Fem	Sing	מְהִירוּת	מְהִירוּת	16
2	גרמניות	גרמני	Fem	Plur	גֶּרְמָנִיּוֹת	גֶּרְמָנִי	5
1	חסרונות	חסרון	Masc	Plur	חֶסְרוֹנוֹת	חֶסְרוֹן	1
1	כמשהו	כמשהו	Masc	Sing	כְּמַשֶּׁהוּ	כְּמַשֶּׁהוּ	1
19	אוטו	אוטו	Masc	Sing	אוֹטוֹ	אוֹטוֹ	19
4	פתיחת	פתיחה	Fem	Sing	פְּתִיחַת	פְּתִיחָה	10
5	תפיסה	תפיסה	Fem	Sing	תְּפִיסָה	תְּפִיסָה	9
4	השקעה	השקעה	Fem	Sing	הַשְׁקָעָה	הַשְׁקָעָה	4
1	כרמל	כרמל	Masc	Sing	כַּרְמֶל	כַּרְמֶל	1
1	סיבובים	סיבוב	Masc	Plur	סִּיבּוּבִים	סִּיבּוּב	12
6	הים	הים	Masc	Sing	הַיָּם	הַיָּם	6
2	בניית	בנייה	Fem	Sing	בְּנִיַּית	בְּנִיָּיה	9
34	שירים	שיר	Masc	Plur	שִׁירִים	שִׁיר	82
3	ישראליות	ישראלי	Fem	Sing	יִשְׂרְאֵלִיּוּת	יִשְׂרְאֵלִי	65
1	ספנים	ספן	Masc	Plur	סַפָּנִים	סַפָּן	1
30	אפליקציה	אפליקציה	Fem	Sing	אַפְּלִיקַצְיָה	אַפְּלִיקַצְיָה	40
14	תמלול	תמלול	Masc	Sing	תַּמְלוּל	תַּמְלוּל	14
1	צרף	צרף	Masc	Sing	צֶּרֶף	צֶּרֶף	1
2	תחתית	תחתית	Fem	Sing	תַּחְתִּית	תַּחְתִּית	2
11	יופי	יוף	Masc	Sing	יוֹפִי	יוֹף	11
4	קוראים	קורא	Masc	Plur	קוֹרְאִים	קוֹרֵא	4
1	התחביש	התחביש	Masc	Sing	הַתַּחְבִּישׁ	הַתַּחְבִּישׁ	1
1	תחיל	תחיל	Masc	Sing	תָּחִיל	תָּחִיל	2
2	דע	דע	Masc	Sing	דַּע	דַּע	2
1	מכניקה	מכניקה	Fem	Sing	מֵכָנִיקָה	מֵכָנִיקָה	1
1	לרכבים	לרכב	Masc	Plur	לִרְכָבִים	לְרֶכֶב	1
1	החלטת	החלטה	Fem	Sing	הַחְלָטַת	הַחְלָטָה	24
1	ספנות	ספנה	Fem	Plur	סַפָּנוֹת	סַפְנָה	1
1	בוגר	בוגר	Masc	Sing	בּוֹגֵּר	בּוֹגֵּר	2
1	טרנספורטר	טרנספורטר	Masc	Sing	טְרַנְסְפוֹרְטֶר	טְרַנְסְפוֹרְטֶר	1
23	פרסום	פרסום	Masc	Sing	פִּרְסוּם	פִּרְסוּם	28
1	לאבא	לאבא	Masc	Sing	לְאַבָּא	לְאַבָּא	1
4	אחיות	אח	Fem	Plur	אֲחָיוֹת	אָח	44
19	אתגר	אתגר	Masc	Sing	אֶתְגָּר	אֶתְגָּר	34
1	אוות	אווה	Fem	Sing	אֵוָות	אֵוָוה	1
1	נוסע	נוסע	Masc	Sing	נוֹסֵעַ	נוֹסֵעַ	3
1	טסט	טסט	Masc	Sing	טֵסְט	טֵסְט	1
2	רעשים	רעש	Masc	Plur	רְעָשִׁים	רַעַשׁ	13
1	אוברול	אוברול	Masc	Sing	אוֹבְרוֹל	אוֹבְרוֹל	1
2	מכונאי	מכונאי	Masc	Sing	מְכוֹנַאי	מְכוֹנַאי	2
1	בלוק	בלוק	Masc	Sing	בְּלוֹק	בְּלוֹק	1
1	חרד	חרד	Masc	Sing	חָרֵד	חָרֵד	1
1	מבלמים	מבלם	Masc	Plur	מְבַלְּמִים	מְבַלֵּם	1
3	צינורות	צינור	Masc	Plur	צִּינּוֹרוֹת	צִּינּוֹר	4
1	למים	לם	Masc	Plur	לַמַּיִם	לָם	1
1	משיבת	משיבה	Fem	Sing	מְשִׁיבַת	מְשִׁיבָה	1
4	חשמל	חשמל	Masc	Sing	חַשְׁמַל	חַשְׁמַל	4
6	שיפוץ	שיפוץ	Masc	Sing	שִׁיפּוּץ	שִׁיפּוּץ	6
2	חלקי	חלק	Masc	Plur	חֶלְקִי	חֵלֶק	166
2	תרגם	תרגם	Masc	Sing	תַּרְגֵּם	תַּרְגֵּם	2
1	פוד	פוד	Masc	Sing	פּוֹד	פּוֹד	1
9	תסכול	תסכול	Masc	Sing	תִּסְכּוּל	תִּסְכּוּל	9
1	מכונאים	מכונא	Masc	Plur	מְכוֹנְאִים	מְכוֹנֵא	1
6	תמורה	תמורה	Fem	Sing	תְּמוּרָה	תְּמוּרָה	6
4	נגיד	נגיד	Masc	Plur	נַגִּיד	נַגִּיד	4
1	העזרה	העזרה	Fem	Sing	הָעֶזְרָה	הָעֶזְרָה	1
11	אה	אה	Masc	Sing	אָה	אָה	11
4	הרכב	הרכב	Masc	Sing	הֶרְכֵּב	הֶרְכֵּב	4
4	השוואה	השוואה	Fem	Sing	הַשְׁוָואָה	הַשְׁוָואָה	4
2	טרקטור	טרקטור	Masc	Sing	טְּרַקְטוֹר	טְּרַקְטוֹר	3
3	יומיום	יומיום	Masc	Sing	יוֹמְיוֹם	יוֹמְיוֹם	3
5	מפגשים	מפגש	Masc	Plur	מִפְגָּשִׁים	מִפְגָּשׁ	25
3	תחזוקה	תחזוקה	Fem	Sing	תַּחֲזוּקָה	תַּחֲזוּקָה	3
1	כיפת	כיפה	Fem	Sing	כִּיפַּת	כִּיפָּה	1
1	תגופה	תגופה	Fem	Sing	תְּגוּפָה	תְּגוּפָה	1
11	סיבוב	סיבוב	Masc	Sing	סִּיבּוּב	סִּיבּוּב	12
15	חוף	חוף	Masc	Sing	חוֹף	חוֹף	23
1	גרותאה	גרותאה	Fem	Sing	גְּרוּתָאָה	גְּרוּתָאָה	1
6	מכירה	מכירה	Fem	Sing	מַכִּירָה	מַכִּירָה	19
1	רכבי	רכב	Masc	Plur	רִכְבִי	רֶכֶב	51
1	אספנות	אספנות	Masc	Sing	אַסְפָנוּת	אַסְפָנוּת	1
1	התחייבות	התחייבות	Fem	Sing	הִתְחַיְּיבוּת	הִתְחַיְּיבוּת	2
5	הפרק	הפרק	Masc	Sing	הַפֶּרֶק	הַפֶּרֶק	5
6	הצאות	הצאה	Fem	Plur	הֲצָאוֹת	הֲצָאָה	6
7	פתגמים	פתגם	Masc	Plur	פִּתְגָּמִים	פִּתְגָּם	18
11	חיות	חיה	Fem	Plur	חַיוֹת	חַיָּה	13
11	בעלי	בעל	Masc	Plur	בַּעֲלֵי	בַּעַל	14
3	בגן	בגן	Masc	Sing	בַּגַּן	בַּגַּן	4
5	התנהגות	התנהגות	Fem	Sing	הִתְנַהֲגוּת	הִתְנַהֲגוּת	6
1	כבני	כבן	Masc	Plur	כִּבְנֵי	כְּבֶן	1
11	פתגם	פתגם	Masc	Sing	פִּתְגָּם	פִּתְגָּם	18
2	צירוף	צירוף	Masc	Sing	צֵּיְרוּף	צֵּיְרוּף	2
1	expש	expש	Masc	Sing	Xpשׁ	Xpשׁ	1
10	כלבים	כלב	Masc	Plur	כְּלָבִים	כֶּלֶב	13
5	ציפורים	ציפור	Fem	Plur	צִּיפּוֹרִים	צִּיפּוֹר	7
1	רוצי	רוצה	Masc	Sing	רוּצִי	רוֹצֶה	1
2	הזמנות	הזמנה	Fem	Plur	הַזְמָנוֹת	הַזְמָנָה	8
7	תוכנה	תוכנה	Fem	Sing	תָּכְנָה	תָּכְנָה	9
1	סופטור	סופטור	Masc	Sing	סוֹפְטוֹר	סוֹפְטוֹר	1
2	תוכנת	תוכנה	Fem	Sing	תּוֹכֶנֶת	תָּכְנָה	9
2	המבורגר	המבורגר	Masc	Sing	הַמְבּוּרְגֶּר	הַמְבּוּרְגֶּר	2
11	תפריט	תפריט	Masc	Sing	תַּפְרִיט	תַּפְרִיט	14
5	פסטה	פסטה	Fem	Sing	פַּסְטָה	פַּסְטָה	7
1	סושי	סושי	Masc	Sing	סוּשִׁי	סוּשִׁי	1
1	אזה	אזה	Masc	Sing	אָזֶה	אָזֶה	1
15	דובים	דוב	Masc	Plur	דּוּבִּים	דּוֹב	15
3	"תנ""ך"	"תנ""ך"	Masc	Sing	"תָּנָ""ךְ"	"תָּנָ""ךְ"	3
4	מלכים	מלך	Masc	Plur	מְלָכִים	מֶלֶךְ	10
8	נביא	נביא	Masc	Sing	נָבִיא	נָבִיא	8
4	תלמוד	תלמוד	Masc	Sing	תַּלְמוּד	תַּלְמוּד	4
1	ספרים	ספר	Masc	Plur	סְפָרִים	סֵפֶר	112
1	ניסים	ניס	Masc	Plur	נִיסִּים	נִּיס	1
5	נס	נס	Masc	Sing	נֵס	נֵס	5
5	מובן	מובן	Masc	Sing	מוּבָּן	מוּבָּן	5
1	ריפוי	ריפוי	Masc	Sing	רִיפּוּי	רִיפּוּי	1
1	הורדת	הורדה	Fem	Sing	הוֹרָדַת	הוֹרָדָה	1
1	התערבות	התערבות	Fem	Sing	הִתְעָרְבוּת	הִתְעָרְבוּת	1
3	אלוהים	אלוהים	Masc	Sing	אֱלוֹהִים	אֱלוֹהִים	3
4	סבר	סבר	Masc	Sing	סֵבֶר	סֵבֶר	8
5	הסבר	הסבר	Masc	Sing	הֶסְבֵּר	הֶסְבֵּר	5
1	טוגוסיפ	טוגוסיף	Masc	Sing	טוֹגוּסִיפ	טוֹגוּסִיף	1
5	פעמון	פעמון	Masc	Sing	פַּעֲמוֹן	פַּעֲמוֹן	5
5	הכיתה	הכיתה	Fem	Sing	הַכִּיתָּה	הַכִּיתָּה	5
8	שטויות	שטות	Fem	Plur	שְׁטוּיוֹת	שְׁטוּת	8
4	עוקב	עקב	Masc	Sing	עוֹקֵב	עֵקֶב	10
11	פטריון	פטריון	Masc	Sing	פִּטְרָיוֹן	פִּטְרָיוֹן	11
40	קפה	קפה	Masc	Sing	קָפֶה	קָפֶה	40
1	קולקציה	קולקציה	Fem	Sing	קוֹלֶקְצִיָּה	קוֹלֶקְצִיָּה	1
4	הנחה	הנחה	Fem	Sing	הַנָּחָה	הַנָּחָה	9
7	מזל	מזל	Masc	Sing	מַזָּל	מַזָּל	11
11	שיירה	שיירה	Fem	Sing	שְַׁיָירָה	שְַׁיָירָה	11
2	קרבן	קרבן	Masc	Sing	קַרְבָּן	קַרְבָּן	2
1	דות	דה	Masc	Plur	דּוּת	דֶּה	1
15	מיני	מין	Masc	Plur	מִינִי	מִין	25
1	פוליטיקאית	פוליטיקאי	Fem	Sing	פּוֹלִיטִיקָאִית	פּוֹלִיטִיקַאי	10
2	פרלמנט	פרלמנט	Masc	Sing	פַּרְלָמֶנְט	פַּרְלָמֶנְט	2
1	חרדים	חרדי	Masc	Plur	חֲרֵדִים	חֲרֵדִי	1
4	דתיים	דתי	Masc	Plur	דָּתִיִּים	דָּתִי	4
3	שרט	שרט	Masc	Sing	שֶׂרֶט	שֶׂרֶט	3
4	עיתונאים	עיתונאי	Masc	Plur	עִיתּוֹנָאִים	עִיתּוֹנַאי	4
5	פוליטיקאי	פוליטיקאי	Masc	Sing	פּוֹלִיטִיקַאי	פּוֹלִיטִיקַאי	10
2	תורה	תורה	Fem	Sing	תָּוֹרָה	תָּוֹרָה	2
1	שפית	שפית	Fem	Sing	שָׂפִית	שָׂפִית	1
1	כוכבי	כוכב	Masc	Plur	כּוֹכָבִי	כּוֹכָב	15
4	מסעדת	מסעדה	Fem	Sing	מִסְעֶדֶת	מִסְעָדָה	83
2	חמין	חמין	Masc	Sing	חָמִין	חָמִין	2
1	קוסקוס	קוסקוס	Masc	Sing	קוֹסְקוּס	קוֹסְקוּס	1
1	בקרי	בקר	Masc	Plur	בִּקְרִי	בַּקַּר	5
6	עיתונים	עיתון	Masc	Plur	עִיתּוֹנִים	עִיתּוֹן	10
2	פתג	פתג	Masc	Sing	פֶּתֶג	פֶּתֶג	2
5	עורב	עורב	Masc	Sing	עוֹרֵב	עוֹרֵב	5
2	ציפור	ציפור	Fem	Sing	צִּיפּוֹר	צִּיפּוֹר	7
1	זרזיר	זרזיר	Masc	Sing	זַרְזִיר	זַרְזִיר	1
7	כוכב	כוכב	Masc	Sing	כּוֹכָב	כּוֹכָב	15
15	יהודים	יהודי	Masc	Plur	יְהוּדִים	יְהוּדִי	20
2	דעות	דעה	Fem	Plur	דֵּעוֹת	דֵּעָה	59
4	לייקים	לייק	Masc	Plur	לַיְיקִים	לַיְּיק	9
2	הזרזיר	הזרזיר	Masc	Sing	הַזַּרְזִיר	הַזַּרְזִיר	2
1	שונאי	שונא	Masc	Plur	שׂוֹנַאי	שׂוֹנֵא	1
9	תיכון	תיכון	Masc	Sing	תִּיכוֹן	תִּיכוֹן	11
1	בחיטה	בחיטה	Fem	Sing	בְּחִיטָה	בְּחִיטָה	1
9	תלמיד	תלמיד	Masc	Sing	תַּלְמִיד	תַּלְמִיד	48
35	תלמידים	תלמיד	Masc	Plur	תַּלְמִידִים	תַּלְמִיד	48
1	תרגזה	תרגזה	Fem	Sing	תִּרְגְּזָה	תִּרְגְּזָה	1
3	רע	רע	Masc	Sing	רַע	רַע	4
1	סף	סף	Masc	Sing	סַּף	סַּף	1
1	עיות	עיה	Fem	Plur	עָיוֹת	עַיָּה	1
1	תש	תש	Masc	Sing	תָּשׁ	תָּשׁ	1
1	התפרצות	התפרצות	Fem	Sing	הִתְפָּרְצוּת	הִתְפָּרְצוּת	2
9	אפליקצית	אפליקצי	Fem	Sing	אַפְּלִיקְצִית	אַפְלִיקְצִי	11
34	ווליום	ווליום	Masc	Sing	וָולְיוּם	וָולְיוּם	34
3	טקסטים	טקסט	Masc	Plur	טֶּקְסְטִים	טֵקְסְט	6
2	סיגנל	סיגנל	Masc	Sing	סִּיגְנֵל	סִּיגְנֵל	2
2	כירים	כיר	Masc	Plur	כִּירִים	כִּיר	2
1	ממשל	ממשל	Masc	Sing	מִמְשָׁל	מִמְשָׁל	1
1	מקצת	מקצת	Fem	Sing	מִקְצָת	מִקְצָת	1
1	מאפליקציות	מאפליקציה	Fem	Plur	מַאפְלִיקְצִיּוֹת	מַאפְלִיקַצְיָה	1
1	סלק	סלק	Masc	Sing	סֶּלֶק	סֶּלֶק	1
3	תאימה	תאימה	Fem	Sing	תְּאִימָה	תְּאִימָה	6
2	אפליקציית	אפליקצי	Fem	Sing	אַפְּלִיקְצִיַּית	אַפְלִיקְצִי	11
1	גיימרים	גיימר	Masc	Plur	גֵּיְימֵרִים	גֵּיְימֶר	1
5	משחקי	משחק	Masc	Plur	מִשְׂחָקִי	מִשְׂחָק	20
14	טלגר	טלגר	Masc	Sing	טֵלֵגֶּר	טֵלֵגֶּר	14
7	אחים	אח	Masc	Plur	אַחִים	אָח	44
10	פרויקטים	פרויקט	Masc	Plur	פְּרוֹיֶקְטִים	פְּרוֹיֶקְט	38
2	מחשבים	מחשב	Masc	Plur	מַחְשְׁבִים	מַחְשֵׁב	6
1	מתמטיקאי	מתמטיקאי	Masc	Sing	מָתֵמָטִיקַאי	מָתֵמָטִיקַאי	1
4	אינפורמציה	אינפורמציה	Fem	Sing	אִינְפוֹרְמַצְיָה	אִינְפוֹרְמַצְיָה	4
5	משטר	משטר	Masc	Sing	מִשְׁטָר	מִשְׁטָר	5
1	האחים	האחים	Masc	Plur	הָאַחִים	הָאַחִים	1
1	דמוקרטיה	דמוקרטיה	Fem	Sing	דֶּמוֹקְרַטְיָה	דֶּמוֹקְרַטְיָה	1
10	פלטפורמה	פלטפורמה	Fem	Sing	פָּלַטְפוֹרְמָה	פָּלַטְפוֹרְמָה	16
18	מחיאות	מחיאה	Fem	Plur	מְחִיאוֹת	מְחִיאָה	18
12	פיים	פיים	Masc	Sing	פַּיִים	פַּיִים	12
1	סחר	סחר	Masc	Sing	סַחַר	סַחַר	1
9	טלגרס	טלגרס	Masc	Sing	טֵלֵגֵּרְס	טֵלֵגֵּרְס	9
2	מילת	מילה	Fem	Sing	מִילַּת	מִילָּה	147
